Country_Name_en,Country_name,Income_Group,Region,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
China,中国,中高等收入国家,东亚与太平洋地区（不包括高收入）,30.17041252,29.38944623,31.95166301,32.14900252,30.49905043,30.8595247,31.58467467,29.69961988,30.42695677,30.2499368,30.88739648,
Cote d'Ivoire,科特迪瓦,中低等收入国家,撒哈拉以南非洲地区（不包括高收入）,,16.07840286,12.86207698,4.314863351,17.15870575,9.01331935,4.743316179,12.45733108,8.68156396,4.827111282,7.189288,
Cameroon,喀麦隆,中低等收入国家,撒哈拉以南非洲地区（不包括高收入）,,,,,,,2.819099163,5.268418056,3.909935516,4.342571297,4.911430716,
"Congo, Dem. Rep.",刚果（金）,低收入国家,撒哈拉以南非洲地区（不包括高收入）,,,,,,,,,,,,
"Congo, Rep.",刚果（布）,中低等收入国家,撒哈拉以南非洲地区（不包括高收入）,,,,,,,,2.051292793,,,2.159584584,
Colombia,哥伦比亚,中高等收入国家,拉丁美洲与加勒比海地区（不包括高收入）,3.065609677,4.01848335,5.585562744,5.492790375,4.71762429,5.750809961,7.856440512,8.123128428,9.856497582,10.338507,8.98559562,7.265704756
Comoros,科摩罗,中低等收入国家,撒哈拉以南非洲地区（不包括高收入）,,,,,,,,,,,,
Cabo Verde,佛得角,中低等收入国家,撒哈拉以南非洲地区（不包括高收入）,,,,,0.601738941,,,0.002948806,,,,
Costa Rica,哥斯达黎加,中高等收入国家,拉丁美洲与加勒比海地区（不包括高收入）,45.49802303,39.57813512,44.27010004,40.15619249,41.00641329,39.80425924,43.44984495,36.51560188,16.99250535,18.45661326,18.52229059,
Caribbean small states,加勒比小国,,,,,,3.054920791,,,,,,,,
Cuba,古巴,中高等收入国家,拉丁美洲与加勒比海地区（不包括高收入）,,,,,,,,,,,,
Curacao,库拉索,高收入国家,,,,,,,,,,,,,
Cayman Islands,开曼群岛,高收入国家,,,,,,,,,,,,,
Cyprus,塞浦路斯,高收入国家,,31.29565897,32.02062743,32.52968555,38.20156058,30.30658005,16.58918909,13.08339682,14.59182479,13.14171394,13.42828437,14.05219408,19.85853692
Czech Republic,捷克共和国,高收入国家,,15.23434678,15.77168327,17.43110733,17.86704559,18.70728328,18.59264162,17.34868188,17.39718864,17.78843732,16.9926914,17.90273743,19.63293694
Germany,德国,高收入国家,,15.49717771,15.13459684,16.88175765,17.00726106,16.44902337,17.35816002,17.42602403,17.32001995,17.89304194,18.21901106,15.85759662,15.76321756
Djibouti,吉布提,中低等收入国家,中东与北非地区（不包括高收入）,,,0.931452669,,,,,,,,,
Dominica,多米尼克,中高等收入国家,拉丁美洲与加勒比海地区（不包括高收入）,,,,0.837412486,,9.006073679,,,,,,
Denmark,丹麦,高收入国家,,18.33934913,16.90415185,18.92007483,15.47976905,15.28815495,15.84353404,15.84882308,15.71837597,17.19134118,16.6798514,13.8774028,13.981511
Dominican Republic,多米尼加共和国,中高等收入国家,拉丁美洲与加勒比海地区（不包括高收入）,10.64520314,3.739198615,2.506903018,2.349755701,2.386399034,3.200125797,4.453508085,4.304506742,4.260169574,4.76521493,8.569574559,
Algeria,阿尔及利亚,中高等收入国家,中东与北非地区（不包括高收入）,0.738639231,0.668770196,0.653887497,0.528151019,0.238653537,0.142489334,0.198560763,0.190932317,0.157413455,0.349782374,0.601269898,
East Asia & Pacific (excluding high income),东亚与太平洋地区（不包括高收入）,,,29.71817596,28.10723569,32.59414197,30.81003294,29.07380876,29.64005169,30.3483382,29.1243565,29.48790133,29.87411428,32.28386816,
Early-demographic dividend,早人口紅利,,,,,8.769908933,8.612346645,8.06650607,7.985133257,7.778939572,8.110819809,8.792683762,8.984021595,10.83004616,11.22658395
East Asia & Pacific,东亚与太平洋地区,,,29.10796361,28.68823657,31.8914176,30.59370386,27.48812286,27.57939524,28.05109847,27.05638264,27.78452152,27.92439468,31.08942039,
Europe & Central Asia (excluding high income),欧洲与中亚地区（不包括高收入）,,,5.721227181,5.538629611,8.873083709,9.594184032,8.079621021,8.898923734,10.37707984,10.90088824,12.34229759,9.169924314,9.458381992,7.935331662
Europe & Central Asia,欧洲与中亚地区,,,15.79503149,15.4040562,17.04950629,17.21855476,16.393058,16.90400597,17.24727633,17.25939447,18.05364253,18.02704449,16.01574696,15.40536975
Ecuador,厄瓜多尔,中高等收入国家,拉丁美洲与加勒比海地区（不包括高收入）,,5.036480085,4.298988938,8.549508062,3.415278662,2.622468715,4.794584407,5.387696129,7.616182514,8.944202049,8.009670089,5.275365461
