Country_Name_en,Country_name,Income_Group,Region,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Niger,尼日尔,低收入国家,撒哈拉以南非洲地区（不包括高收入）,,,17.39210964,8.046536185,5.82142623,13.19727644,57.68815982,60.30148296,15.86165074,2.979384934,,
Nigeria,尼日利亚,中低等收入国家,撒哈拉以南非洲地区（不包括高收入）,,,2.975733615,1.102768511,1.275499482,1.978051677,3.056290565,2.271633302,,1.984731808,1.913722275,1.853997553
Nicaragua,尼加拉瓜,中低等收入国家,拉丁美洲与加勒比海地区（不包括高收入）,4.732218083,0.94698191,5.892208514,5.365426169,6.668297471,0.257811017,0.395406133,0.468388679,0.58306444,0.798624257,0.599118651,0.676388244
Netherlands,荷兰,高收入国家,,28.97156343,25.96230478,27.97095474,27.78473359,25.07268472,25.50465762,25.97665046,25.78639328,24.14615775,23.94159956,22.95376997,22.23637155
Norway,挪威,高收入国家,,18.40998212,19.19254353,20.29687934,20.92790588,22.07700512,21.58925693,21.38494367,22.67217689,22.76152107,21.30285391,21.9358431,21.22952111
Nepal,尼泊尔,低收入国家,南亚,,,0.428684157,0.686221669,0.415437677,0.136733163,0.321903662,0.719747885,0.63534357,0.822753211,1.184352383,
Nauru,瑙魯,中高等收入国家,东亚与太平洋地区（不包括高收入）,,,,,,,,,,,,
New Zealand,新西兰,高收入国家,,9.976953186,9.237230243,9.856318376,9.73432156,9.923677363,9.986950728,10.64996387,9.876326023,10.11149899,10.80521362,9.13448755,9.73074684
OECD members,经合组织成员,,,19.14388207,18.739297,19.54845615,19.24836382,18.32101107,18.63993589,18.77327031,18.75243187,19.40153146,19.6553317,17.82917593,17.35846279
Oman,阿曼,高收入国家,,,,,,,3.393646244,3.414128177,4.327856474,4.485276591,3.259705917,1.116401751,
Other small states,其他小国,,,,,12.14942983,,8.999341243,,5.984004557,6.149907143,9.366144673,7.977553157,,16.76666118
Pakistan,巴基斯坦,中低等收入国家,南亚,,1.91046515,1.764894923,1.725186019,1.83669384,1.708472395,1.912665374,1.442253763,1.606567845,1.954973936,2.184798274,2.198503871
Panama,巴拿马,高收入国家,,,1.234267169,1.374455676,0.826045658,36.21144478,12.75381108,14.39748264,6.133611134,6.073954158,9.189716751,,
Peru,秘鲁,中高等收入国家,拉丁美洲与加勒比海地区（不包括高收入）,,2.944647513,3.721607251,6.955211082,6.542134017,3.81394382,4.102054618,4.242552255,5.398337951,4.80072392,5.022641793,4.566489448
Philippines,菲律宾,中低等收入国家,东亚与太平洋地区（不包括高收入）,,,,,,,,,,,60.16898907,61.11022038
Palau,帕劳,高收入国家,,,,,,,,,20.23293192,41.21994309,60.45686096,26.82768045,51.68388214
Papua New Guinea,巴布亚新几内亚,中低等收入国家,东亚与太平洋地区（不包括高收入）,,,,,14.69406772,3.89372885,,,,,,
Poland,波兰,高收入国家,,3.777069264,5.233237212,7.087320863,7.718692855,6.616039417,7.8890396,8.849527815,10.24957085,11.01845916,11.03687813,10.89382736,10.60310347
Pre-demographic dividend,預人口紅利,,,,,,,,,,,,,,
Puerto Rico,波多黎各,高收入国家,,,,,,,,,,,,,
"Korea, Dem. People’s Rep.",朝鲜民主主义人民共和国,低收入国家,东亚与太平洋地区（不包括高收入）,,,,,,,,,,,,
Portugal,葡萄牙,高收入国家,,8.561718277,8.2097697,4.789276428,4.056630363,4.113297524,4.47579839,4.684793699,4.856383461,5.060800532,5.784821566,5.964242254,5.267182552
Paraguay,巴拉圭,中高等收入国家,拉丁美洲与加勒比海地区（不包括高收入）,6.963546119,9.600237852,12.03408046,8.62972555,10.00772153,8.838766604,8.626941233,6.803126534,6.039005414,7.636268157,6.393310951,9.690043936
West Bank and Gaza,约旦河西岸和加沙,中低等收入国家,中东与北非地区（不包括高收入）,0.063770784,0.16470917,0.127453716,0.327285983,0.180214128,0.315417046,0.094799443,0.23406475,0.961931517,0.717403596,,
Pacific island small states,太平洋岛国,,,,,,,,,,,9.095421469,,10.30604002,3.094483464
Post-demographic dividend,人口紅利之後,,,20.67542007,20.47544259,21.55869744,21.73052986,19.89561032,20.16325733,20.19900188,19.96216751,20.64516669,20.72572977,19.27662157,19.4747276
French Polynesia,法属波利尼西亚,高收入国家,,,,9.271399511,5.000358154,18.12684102,2.599126521,7.92651987,15.56491855,11.82269719,,,
Qatar,卡塔尔,高收入国家,,,,0.027056166,,0.005507629,,0.000580959,0.049124769,5.088990414,2.197910643,,0.003992656
Romania,罗马尼亚,中高等收入国家,欧洲与中亚地区（不包括高收入）,4.413499622,6.920354862,10.37501619,12.51402187,11.63407355,8.133940793,7.363563013,8.386750327,9.4149683,10.39229021,9.822595962,10.08142711
Russian Federation,俄罗斯联邦,中高等收入国家,欧洲与中亚地区（不包括高收入）,7.308743819,7.066349805,9.777236021,9.59270166,8.510197805,9.204826954,10.76200976,12.1956317,16.41274534,11.32392536,12.47236014,10.96300813
Rwanda,卢旺达,低收入国家,撒哈拉以南非洲地区（不包括高收入）,,,37.9674592,7.1172714,14.74471112,3.118429357,7.762259396,12.27953237,13.54436803,12.5432463,,
South Asia,南亚,,,,,8.30959089,6.817779457,6.838554896,6.555555189,7.62120647,8.35330121,6.824729343,7.031234846,6.826061955,8.685839268
Saudi Arabia,沙特阿拉伯,高收入国家,,0.689888643,0.769389306,1.083417104,0.741225422,0.579576758,0.648557271,0.700594775,0.576832325,0.776525471,3.096472228,0.734439772,0.612695292
Sudan,苏丹,中低等收入国家,撒哈拉以南非洲地区（不包括高收入）,,,,,,,,,,,,
Senegal,塞内加尔,中低等收入国家,撒哈拉以南非洲地区（不包括高收入）,,5.811404737,13.86939256,1.866324871,0.896154071,0.862861547,1.483172399,1.830585405,3.751678244,2.731910949,2.184688444,2.809320294
Singapore,新加坡,高收入国家,,48.44681775,52.71545766,50.90745958,52.34260164,47.73421611,48.43962351,50.40764995,50.79095344,52.41770079,52.44480063,53.14902665,51.72375129
Solomon Islands,所罗门群岛,中低等收入国家,东亚与太平洋地区（不包括高收入）,,,,,,,,,2.799395181,1.747179146,1.022466449,1.359215318
Sierra Leone,塞拉利昂,低收入国家,撒哈拉以南非洲地区（不包括高收入）,,,,,,,,0.008480888,0.006537046,0.001250763,0.064879662,
El Salvador,萨尔瓦多,中低等收入国家,拉丁美洲与加勒比海地区（不包括高收入）,6.317624916,5.891880804,6.470066507,7.337289129,6.645476581,6.009962296,5.657669384,5.65508467,4.985594522,5.376495118,5.737270823,6.129973445
San Marino,圣马力诺,高收入国家,,,,,,,,,,,,,
Somalia,索马里,低收入国家,撒哈拉以南非洲地区（不包括高收入）,,,,,,,,,,,,
Serbia,塞尔维亚,中高等收入国家,欧洲与中亚地区（不包括高收入）,,,,,,,,,,,,
Sub-Saharan Africa (excluding high income),撒哈拉以南非洲地区（不包括高收入）,,,,,,,,5.070245099,4.829710827,4.692124912,,4.211839267,4.019583897,
South Sudan,南苏丹,低收入国家,撒哈拉以南非洲地区（不包括高收入）,,,,,,,,,,,,
Sub-Saharan Africa,撒哈拉以南非洲地区,,,,,,,,5.070245099,4.851100272,4.696207521,,4.209538474,4.419859508,
Small states,小国,,,,,11.36352006,,8.757027668,,5.903426408,6.075212746,9.14916894,7.796702735,,16.73067518
Sao Tome and Principe,圣多美和普林西比,中低等收入国家,撒哈拉以南非洲地区（不包括高收入）,,,,,2.001836969,14.54787907,14.51788571,1.38764213,46.95723771,68.15044607,34.66723344,45.96726967
Suriname,苏里南,中高等收入国家,拉丁美洲与加勒比海地区（不包括高收入）,,,,14.22428024,6.932012311,25.08973985,13.99065309,20.5585248,11.09476987,24.09862926,11.62423442,7.939276389
Slovak Republic,斯洛伐克共和国,高收入国家,,5.395888822,5.082502191,6.355099479,7.211307212,7.405206734,9.585402457,11.02229499,11.14260578,11.15995771,10.73158413,11.79767464,10.57862551
Slovenia,斯洛文尼亚,高收入国家,,5.660482302,6.454423371,6.821767253,6.055205461,6.206545963,6.64768551,6.728323347,6.407384967,7.001511643,7.140001917,6.498770341,6.806222768
Sweden,瑞典,高收入国家,,16.85756033,17.32412023,18.85349783,19.6612486,18.76080748,17.99676393,18.00137472,17.98054327,18.12656796,18.28057864,15.38153164,14.344129
Eswatini,斯威士兰,中低等收入国家,撒哈拉以南非洲地区（不包括高收入）,,,,,,,0.07761361,0.09535704,0.211314471,0.199765123,0.297026963,
Sint Maarten (Dutch part),圣马丁(荷属),高收入国家,,,,,,,,,,,,,
Seychelles,塞舌尔,高收入国家,,,,,,,,10.88018219,5.86275505,8.138878131,3.740333515,89.25082353,5.328604024
Syrian Arab Republic,阿拉伯叙利亚共和国,低收入国家,中东与北非地区（不包括高收入）,,1.881599521,1.572241251,1.506657151,,,,,,,,
Turks and Caicos Islands,特克斯科斯群岛,高收入国家,,,,,,2.082985367,2.179870666,,,,,,
Chad,乍得,低收入国家,撒哈拉以南非洲地区（不包括高收入）,,,,,,,,,,,,
East Asia & Pacific (IDA & IBRD countries),东亚与太平洋地区 (IBRD与IDA),,,29.71817596,28.10723569,32.59414197,30.81003294,29.07380876,29.64005169,30.3483382,29.12397178,29.4885314,29.87565846,32.28362671,
Europe & Central Asia (IDA & IBRD countries),欧洲与中亚地区 (IBRD与IDA),,,5.43699755,5.581353977,8.595689018,9.262898363,7.855519777,8.791520167,10.16246506,10.77767563,12.03548101,9.729024455,9.767659154,8.572874123
Togo,多哥,低收入国家,撒哈拉以南非洲地区（不包括高收入）,,0.039613755,0.07654148,0.048432315,0.302299195,0.176696357,0.237479777,0.154367626,0.430020058,0.099803631,0.171789889,
Thailand,泰国,中高等收入国家,东亚与太平洋地区（不包括高收入）,27.81057172,26.2885694,27.46409501,26.16456378,22.55199895,22.62694539,21.98364219,22.49305183,23.76944527,24.04045851,,23.34009716
Tajikistan,塔吉克斯坦,低收入国家,欧洲与中亚地区（不包括高收入）,,,,,,,,,,,,
Turkmenistan,土库曼斯坦,中高等收入国家,欧洲与中亚地区（不包括高收入）,,,,,,,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),拉丁美洲与加勒比海地区 (IBRD与IDA),,,,13.06222566,14.12945213,13.56023379,13.20941775,12.94227638,13.14305105,13.17408698,13.68618377,14.53468859,14.46582727,14.28569555
Timor-Leste,东帝汶,中低等收入国家,东亚与太平洋地区（不包括高收入）,,,,,,,,,,,,
Middle East & North Africa (IDA & IBRD countries),中东与北非地区 (IBRD与IDA),,,,,,,3.067022343,,,,,2.111150859,2.219733457,
Tonga,汤加,中高等收入国家,东亚与太平洋地区（不包括高收入）,,,1.091342488,0.038764595,0.07884325,6.630681808,5.973496798,2.696511281,,,,
South Asia (IDA & IBRD),南亚 (IBRD与IDA),,,,,8.30959089,6.817779457,6.838554896,6.555555189,7.62120647,8.35330121,6.824729343,7.031234846,6.826061955,8.685839268
Sub-Saharan Africa (IDA & IBRD countries),撒哈拉以南非洲地区 (IBRD与IDA),,,,,,,,5.070245099,4.851100272,4.696207521,,4.209538474,4.419859508,
Trinidad and Tobago,特立尼达和多巴哥,高收入国家,,1.604647875,0.774400374,0.259356152,0.100527769,0.123159235,0.763002208,0.181792297,0.136129555,0.137847056,,,
Tunisia,突尼斯,中低等收入国家,中东与北非地区（不包括高收入）,,5.607028859,6.85579623,8.007014301,8.326288799,7.057869751,6.459001441,6.765220056,7.785043985,7.929748622,7.391957503,
Turkey,土耳其,中高等收入国家,欧洲与中亚地区（不包括高收入）,2.17117999,1.856518899,2.024368281,2.200778164,2.111825995,2.161575467,2.287851279,2.330256546,2.578408714,2.513355128,2.902416506,2.329431447
Tuvalu,图瓦卢,中高等收入国家,东亚与太平洋地区（不包括高收入）,,,,,,,,,,,,
Tanzania,坦桑尼亚,低收入国家,撒哈拉以南非洲地区（不包括高收入）,,2.229016972,3.486413853,3.867776812,5.90357982,11.34977491,6.721752058,3.387191999,0.853246929,2.319713844,2.565307108,6.889404385
Uganda,乌干达,低收入国家,撒哈拉以南非洲地区（不包括高收入）,,1.488518641,1.307818201,2.570436045,22.59509864,22.10285103,2.110052181,2.678338361,2.296975802,2.046761807,2.053977409,3.536273025
Ukraine,乌克兰,中低等收入国家,欧洲与中亚地区（不包括高收入）,,,,,4.995374404,6.913882096,6.710785557,7.530130373,8.523846715,7.217875446,6.25224493,5.40608447
Upper middle income,中高等收入国家,,,20.31549985,18.51115992,22.97686424,22.96688805,20.70551315,21.81476779,22.24023654,22.00109016,23.73880373,22.80001983,22.9337339,
Uruguay,乌拉圭,高收入国家,,3.511866614,4.817035926,5.997522054,6.720580691,6.218843777,9.541633035,8.896516053,8.285837435,14.25342276,10.01686647,8.145117801,7.197167702
United States,美国,高收入国家,,30.51312664,28.97133129,25.00957984,23.11602909,21.06765866,20.65993207,20.65168465,20.99626735,21.94510512,23.01332375,19.69151286,18.89563539
Uzbekistan,乌兹别克斯坦,中低等收入国家,欧洲与中亚地区（不包括高收入）,,,,,,,,,,,,
St. Vincent and the Grenadines,圣文森特和格林纳丁斯,中高等收入国家,拉丁美洲与加勒比海地区（不包括高收入）,,,0.819113598,0.155865233,0.026135299,0.050756033,1.397143354,0.711813911,,0.003988753,1.028610215,0.003258051
"Venezuela, RB",委内瑞拉玻利瓦尔共和国,中高等收入国家,拉丁美洲与加勒比海地区（不包括高收入）,,,,,,,,,,,,
British Virgin Islands,英屬維爾京群島,高收入国家,,,,,,,,,,,,,
Virgin Islands (U.S.),美属维京群岛,高收入国家,,,,,,,,,,,,,
Vietnam,越南,中低等收入国家,东亚与太平洋地区（不包括高收入）,,8.763089718,10.45109075,13.00053544,18.60442774,26.88913656,33.21732318,31.74246436,,37.76333863,41.41245043,
Vanuatu,瓦努阿图,中低等收入国家,东亚与太平洋地区（不包括高收入）,,,,,,,,,,,,
World,世界,,,20.47953002,19.47163519,21.11746315,20.53206249,18.71355285,19.02542379,19.03880555,19.04057654,20.30303782,20.06929381,21.51544924,17.97058324
Samoa,萨摩亚,中高等收入国家,东亚与太平洋地区（不包括高收入）,,,0.573528854,1.269707541,1.029793031,0.30018316,0.692707017,1.967123098,0.814001912,1.020186343,1.382665353,3.094483464
Kosovo,科索沃,中高等收入国家,欧洲与中亚地区（不包括高收入）,,,,,,,,,,,,
"Yemen, Rep.",也门共和国,低收入国家,中东与北非地区（不包括高收入）,,,0.38068648,0.365366243,0.316456953,0.215677512,0.355617903,1.308294593,8.015967805,,,
South Africa,南非,中高等收入国家,撒哈拉以南非洲地区（不包括高收入）,5.886383453,5.421060719,5.854819003,5.973654028,6.059117594,6.631055226,6.501821684,6.641668292,6.965006392,6.241870775,5.211779771,5.316473278
Zambia,赞比亚,中低等收入国家,撒哈拉以南非洲地区（不包括高收入）,,2.583378835,1.675858238,1.046505067,24.87063196,5.091544245,2.434008775,1.903816371,7.633726559,,4.48993812,1.998836531
Zimbabwe,津巴布韦,中低等收入国家,撒哈拉以南非洲地区（不包括高收入）,,12.65867545,1.074163252,0.905271922,1.318626751,6.000691516,3.66989964,1.785578859,3.093517534,5.308451725,2.591661254,2.051149029
